epoch, time, test_loss, train_loss, test_accuracy, train_acc, reconstruction_loss_train, reconstruction_loss_test, margin_loss_train, margin_loss_test
0, 158.39021587371826, 0.5076242885257625, 0.5852005421607331, 35.82, 23.38222222222222, 187.63981914520264, 156.02642300762707, 0.4913806257430803, 0.4296110755280603
1, 160.12781190872192, 0.45982078962688205, 0.4978283519263972, 42.27, 37.24444444444445, 155.44964356855914, 137.39604486393023, 0.4201035252348943, 0.39112276366994353
2, 160.62606573104858, 0.44362904640692696, 0.4667952237650752, 45.2, 41.71111111111111, 140.34065129540184, 130.74582691434063, 0.3966248926113952, 0.37825613195383095
3, 160.86055302619934, 0.43098115128806874, 0.4487076277251948, 44.3, 44.11555555555556, 130.44596975499934, 118.75045969516417, 0.38348463973538444, 0.3716059183772606
4, 160.8719038963318, 0.4102914291846601, 0.43469689083708957, 48.78, 46.27777777777778, 123.35835389657454, 113.96000555497181, 0.37301771054891025, 0.3533114228822008
5, 160.99081754684448, 0.41211914186236226, 0.42208735331554303, 48.05, 47.91555555555556, 117.84087618914518, 112.85669273666188, 0.3631669120355086, 0.35569079201432724
6, 161.1126492023468, 0.391610441328604, 0.4123938267373226, 51.870000000000005, 49.29333333333334, 113.93518317829479, 105.89632299881947, 0.35542623165317555, 0.3386622791803336
7, 161.37711095809937, 0.4042769115936907, 0.4043995638123967, 48.65, 50.54222222222222, 110.30992648818277, 104.52902221679688, 0.3492445984685963, 0.3520123981222322
8, 161.17445921897888, 0.38351753240899195, 0.400559710000049, 52.900000000000006, 51.17333333333334, 108.74512262777849, 100.85131015053278, 0.3461871462112123, 0.33309187466585183
9, 161.09961652755737, 0.37918389786647844, 0.39029810958626593, 53.38, 52.62, 105.76216277209195, 96.548513871205, 0.33741702494973486, 0.33090964374662957
10, 161.08259081840515, 0.3729331300982946, 0.3866503936323253, 54.76, 53.14444444444445, 103.9361062483354, 103.70707074901726, 0.3346823366697539, 0.32107959216154075
11, 161.08816146850586, 0.3676962705352638, 0.37914474308490753, 54.99000000000001, 54.571111111111115, 102.18240343440662, 98.39012812360933, 0.32805354055017233, 0.31850120161153095
12, 161.40801453590393, 0.3667701739299146, 0.3758120419965549, 55.589999999999996, 55.14444444444444, 100.93473937294699, 93.47271583653703, 0.3253446714952588, 0.3200338109384609
13, 161.37606477737427, 0.36305564717401434, 0.368098151023415, 55.669999999999995, 56.28666666666666, 98.49217449535023, 93.04239596596247, 0.3188520609824495, 0.3165344465759736
14, 162.0020294189453, 0.34890779287000245, 0.3621906064112078, 58.379999999999995, 57.20666666666666, 98.11502966013822, 91.65789601772646, 0.3131330885331739, 0.30307884344571756
