epoch, time, test_loss, train_loss, test_accuracy, train_acc, reconstruction_loss_train, reconstruction_loss_test, margin_loss_train, margin_loss_test
0, 145.82558465003967, 0.5302781556980519, 0.6321369837969542, 32.67, 17.037777777777777, 195.7380071553317, 167.12943586518492, 0.5342679783193902, 0.44671343625346316
1, 144.9874885082245, 0.4587846594520762, 0.5132986970076506, 41.93, 35.25555555555556, 161.34208128669044, 127.54025200952458, 0.43262765260243957, 0.39501453087299687
2, 145.01054978370667, 0.42961044251164304, 0.4626844216307456, 47.349999999999994, 42.5, 133.49480561776593, 121.6044692027418, 0.3959370164031332, 0.3688082061236418
3, 144.88946151733398, 0.4172854302804681, 0.4390413227745078, 48.69, 46.33777777777778, 126.10125684738159, 110.43459213836283, 0.3759906915947795, 0.36206813250915915
4, 144.89000344276428, 0.4006101507929307, 0.4225942911580205, 51.89, 48.8, 120.18541140989824, 113.75226699249654, 0.36250158128413285, 0.34373401803306386
5, 144.92003655433655, 0.39619281246692317, 0.40819423578002234, 53.55, 51.137777777777785, 116.5350525595925, 116.43797698202012, 0.3499267066574909, 0.33797382101227963
6, 144.87457633018494, 0.38375171339964564, 0.3957343955778263, 54.83, 53.15111111111111, 113.98867895386435, 107.42176683643196, 0.3387400521473451, 0.33004083210908913
7, 144.9956192970276, 0.3730369742158093, 0.387110784903846, 55.32, 54.54, 111.61953486095776, 100.8155746459961, 0.33130101461640815, 0.32262918541703045
8, 144.97379612922668, 0.3653202524668054, 0.38018124855377455, 57.269999999999996, 55.87111111111112, 110.41730811379172, 101.30880901481532, 0.3249725922095505, 0.3146658505820021
9, 145.27611088752747, 0.36264568152306953, 0.36840823563662445, 57.17, 57.562222222222225, 108.0861205404455, 99.830900940714, 0.3143651732666926, 0.3127302267128908
10, 144.88836216926575, 0.37265652757656725, 0.3632020659914071, 57.45, 58.63333333333334, 106.32096685062756, 104.2427951474733, 0.31004157941788435, 0.32053512938414946
11, 145.14358568191528, 0.36209758097612404, 0.35722514131868427, 58.51, 59.760000000000005, 105.4839619289745, 97.31324497657486, 0.30448315741324966, 0.3134409543834155
12, 144.8925564289093, 0.354559464167945, 0.3524533635513349, 59.17, 60.37777777777777, 104.35166629877958, 96.91996514042721, 0.300277529284358, 0.30609947971150847
13, 144.85902523994446, 0.35255135237416135, 0.34688439939848403, 59.8, 61.355555555555554, 103.91275043921037, 102.66258230088633, 0.2949280216443268, 0.30122005864034723
14, 144.8353042602539, 0.3459962297089492, 0.34098168394782324, 60.12, 62.2, 102.57675699754195, 99.96909351590314, 0.2896933023902503, 0.29601168292987196
15, 144.79164361953735, 0.3463370366187035, 0.33816078855571424, 59.21999999999999, 62.742222222222225, 102.39559242942117, 94.46197249014166, 0.286962989167395, 0.29910604636880417
16, 144.75083756446838, 0.34900518987752216, 0.3345094131813808, 60.06, 63.51555555555556, 101.27500640262257, 98.07973654058915, 0.28387190655551175, 0.29996531673624544
17, 144.78557920455933, 0.34145096397098107, 0.3300328263166276, 61.27, 64.49111111111111, 101.91444951837713, 95.84865067880365, 0.27907559724355285, 0.29352663721464856
18, 145.06162285804749, 0.3386038666284537, 0.32688594787296926, 61.24000000000001, 65.25999999999999, 100.64056767116894, 98.70051719568953, 0.27656566190787335, 0.2892536075809334
19, 144.8440887928009, 0.3416938793055619, 0.32368676051158796, 60.81999999999999, 65.42444444444445, 100.60098461671309, 97.42332941369165, 0.2733862661248581, 0.29298220914375933
20, 144.66249799728394, 0.3353511721273012, 0.3199201804501089, 62.31, 66.41777777777777, 101.31477522850037, 97.35632353191134, 0.26926279004493897, 0.2866730088297325
21, 144.8754382133484, 0.3402852442445634, 0.3188235994259065, 60.8, 66.57111111111111, 99.75815577940507, 93.94448070284686, 0.2689445172013207, 0.29331300341630284
22, 144.7299244403839, 0.33078077284595636, 0.31291022287173703, 62.33, 67.05555555555556, 99.70731837099248, 92.04909022850326, 0.2630565636791289, 0.28475622587566135
23, 144.8939561843872, 0.3285147570356538, 0.3109253905713558, 62.9, 67.44666666666667, 99.32705161788247, 93.37723850298532, 0.26126186266033485, 0.28182613585568683
24, 144.7647156715393, 0.34187324024453947, 0.30889814804223453, 62.12, 68.35555555555555, 99.73489668152548, 96.58780998519704, 0.2590306972746145, 0.29357933469965486
25, 144.84503412246704, 0.3357096552094327, 0.30593800849535246, 62.050000000000004, 68.68888888888888, 99.0981847372922, 99.74236365209651, 0.25638891299339855, 0.2858384717491609
26, 144.7911069393158, 0.32939760179459293, 0.30253747884522786, 63.13999999999999, 69.09555555555555, 98.70035943118009, 95.62624030777171, 0.25318729801272805, 0.2815844807066495
27, 144.90375208854675, 0.3303748625743238, 0.30343422683125193, 62.849999999999994, 69.16444444444444, 99.37062469395724, 94.90163498890551, 0.25374891253357584, 0.2829240454903132
28, 144.66281843185425, 0.33212110588822186, 0.2984558400190012, 63.72, 69.98666666666666, 98.67768697305159, 95.7854665442358, 0.24911699266257611, 0.2842283697822426
29, 144.85175132751465, 0.3332630011099803, 0.2941167269918052, 62.3, 70.62888888888888, 98.1143978509036, 94.70422797867015, 0.24505952550944957, 0.285910886299761
30, 144.75359988212585, 0.335877124644533, 0.2939541097730398, 63.33, 70.87333333333333, 98.74603715809909, 103.76730279077458, 0.24458108867772602, 0.2839934697634057
31, 144.9799041748047, 0.3261590633965746, 0.29157921722666785, 63.65, 71.39777777777778, 98.16821893778715, 94.15154546423804, 0.24249510721049525, 0.2790832876027385
32, 144.74209022521973, 0.3275478802904298, 0.2884465409866111, 63.82, 71.93333333333334, 97.76491117477417, 94.40711704688736, 0.23956408313560215, 0.2803443202489539
33, 144.80884504318237, 0.3291908838326418, 0.28713997423818166, 62.67, 72.20222222222222, 97.89466389742765, 92.82768722727329, 0.23819263965230097, 0.28277703685851036
34, 144.69133973121643, 0.32883176056644586, 0.28540666083889926, 63.32, 72.47111111111111, 97.26342391967773, 96.3719536503659, 0.23677494656294584, 0.28064578526382206
35, 144.97658967971802, 0.3252925654000874, 0.2840333444235677, 64.13, 72.69555555555556, 97.69291632825679, 98.54390571690813, 0.2351868833753873, 0.2760206128977522
36, 144.85771942138672, 0.3314257332041294, 0.2786783696236936, 62.74999999999999, 73.48444444444443, 97.37792760675603, 95.75643795351439, 0.22998940381644803, 0.2835475100746638
37, 144.86157393455505, 0.32638060367560084, 0.27725151426751504, 63.660000000000004, 73.80888888888889, 96.4886646487496, 94.18670306628263, 0.2290071799758483, 0.27928724922711334
38, 144.7197926044464, 0.3298411520221565, 0.27383087029341946, 63.260000000000005, 74.5111111111111, 96.72635436058044, 97.27351804322834, 0.2254676917059855, 0.28120439075216463
39, 144.88817811012268, 0.3320109512232527, 0.27501280360262503, 63.42, 74.48222222222223, 97.90616776726462, 97.86705171609226, 0.22605971695685928, 0.2830774220107477
40, 144.88141989707947, 0.32882865056206906, 0.27258434709669516, 64.41, 74.69111111111111, 96.83054024522954, 105.03085288518592, 0.22416907476938583, 0.27631322171869155
41, 144.86285018920898, 0.32711870081817046, 0.2717164685441689, 64.41, 75.1111111111111, 97.84600736878134, 102.74897920632664, 0.22279346200891517, 0.2757442099384115
42, 144.76941347122192, 0.3232183854413938, 0.2694434709423645, 64.46, 75.45555555555555, 96.51880435510115, 96.87842511527145, 0.2211840681477704, 0.2747791698084602
43, 144.868093252182, 0.3381895388983473, 0.26644829990850255, 62.69, 75.89111111111112, 96.51329144564542, 103.04460675203347, 0.21819165251641112, 0.2866672352899479
44, 144.75411868095398, 0.3233162406124646, 0.26415955944156105, 64.35, 76.53777777777778, 96.60609696128152, 100.76090414312822, 0.21585650919851931, 0.27293578865407386
45, 145.06738185882568, 0.3256561937211435, 0.2631611784666099, 64.91, 76.54222222222222, 96.4880819754167, 100.90976367419279, 0.21491713559424336, 0.27520130857636654
