epoch, time, test_loss, train_loss, test_accuracy, train_acc, reconstruction_loss_train, reconstruction_loss_test, margin_loss_train, margin_loss_test
0, 52.3780574798584, 0.5051776638513878, 0.596726016480137, 36.480000000000004, 21.686666666666667, 194.40557856993243, 166.85679027702236, 0.4995232259177349, 0.4217492632473571
1, 51.4242148399353, 0.4449208073223693, 0.48490886771204794, 46.150000000000006, 41.06444444444444, 169.04013746434993, 144.6044477631774, 0.4003887946124781, 0.3726185771483409
2, 51.810675859451294, 0.4244276277626617, 0.4489242641085928, 49.44, 46.757777777777775, 155.97398075190458, 131.4595232613479, 0.3709372711283239, 0.3586978603012954
3, 51.872591972351074, 0.4104644429834583, 0.4255509943785993, 50.74999999999999, 49.86888888888889, 141.0198210369457, 123.27298466163346, 0.3550410804084756, 0.34882794905312453
4, 51.735291719436646, 0.39610162264184107, 0.4039814981885932, 52.910000000000004, 52.666666666666664, 130.611807346344, 118.86309862740433, 0.33867559184066276, 0.3366700671141661
5, 51.833828926086426, 0.3824921740761286, 0.3902326275340535, 55.76, 54.99111111111111, 125.5640133077448, 117.04283055172691, 0.32745061653920193, 0.3239707573305202
6, 51.92093563079834, 0.37022205659105806, 0.3768890704959631, 56.730000000000004, 56.89999999999999, 120.74447785724293, 109.37685993049718, 0.31651682897724887, 0.31553362404243857
7, 51.974772453308105, 0.36674082581000994, 0.3667219314216213, 56.87, 58.699999999999996, 118.26867016878995, 106.41866457009617, 0.3075875925238837, 0.31353149383882933
8, 51.69340133666992, 0.3654123193855527, 0.35446569018743257, 58.709999999999994, 60.782222222222224, 116.24408169226213, 113.80152303961259, 0.2963436469435692, 0.3085115546289879
9, 51.70892143249512, 0.3552595248705224, 0.3448049778288061, 59.19, 62.32444444444445, 114.58222183314237, 107.02741386317, 0.28751386401497503, 0.3017458157448829
10, 51.66319704055786, 0.35002673992627786, 0.33594238944351673, 60.6, 64.05777777777779, 112.11775172840466, 103.52909300598917, 0.27988351293077524, 0.2982621917241736
11, 52.05519080162048, 0.353376415711415, 0.32532849281348963, 59.199999999999996, 65.58888888888889, 110.08597833460027, 102.44861805589893, 0.2702855011448264, 0.3021521032611026
12, 51.88481879234314, 0.3449776587606985, 0.31789052969014103, 61.36000000000001, 66.72444444444444, 108.7832855311307, 101.90940190568755, 0.2634988847950643, 0.2940229601875136
13, 51.79713773727417, 0.34153730997556375, 0.30989293432371184, 61.88, 68.18222222222222, 107.74546911499716, 102.65406103979183, 0.2560201986184852, 0.29021027797385107
14, 51.64687538146973, 0.3330220093455496, 0.30324806027453055, 63.44, 69.36444444444444, 106.28421330451965, 100.89877840838855, 0.2501059519973668, 0.2825726159388506
15, 51.86174392700195, 0.33220602553102035, 0.29549119126220996, 63.62, 70.61333333333333, 105.53835699775003, 99.72509456586234, 0.2427220091393048, 0.2823434775765938
16, 51.953211069107056, 0.3294630601436277, 0.28984534520317207, 64.29, 71.73333333333333, 104.50807970220393, 97.96695255327829, 0.23759130333465608, 0.28047958299329007
17, 51.823954820632935, 0.32554807429072224, 0.2807955439625816, 64.84, 73.44444444444444, 103.5094007578763, 98.23204880726489, 0.2290408412333239, 0.27643204527565196
18, 51.85444521903992, 0.3220982793011243, 0.27743052449924027, 65.27, 74.23555555555555, 103.88001034476541, 98.90251835690269, 0.2254905153319917, 0.2726470165992085
19, 51.9791898727417, 0.3239614616466474, 0.2714028281837024, 64.31, 75.00444444444445, 102.0707733631134, 99.12462925005563, 0.2203674384985458, 0.27439914323106596
20, 51.93553280830383, 0.3214141062543362, 0.26587814469398424, 65.3, 76.14222222222222, 101.74604847214438, 99.67897989780089, 0.21500511789186436, 0.27157461379147785
21, 51.97153186798096, 0.3189607364467428, 0.26119560075246473, 65.36, 76.79555555555555, 101.51323390007019, 96.81990814208984, 0.21043898046694018, 0.27055078084710277
22, 51.907413721084595, 0.31946535087838956, 0.2563016117465767, 66.0, 78.10666666666667, 101.57971943508495, 100.69259759444225, 0.20551174870607528, 0.2691190448365634
23, 52.042335510253906, 0.3198377814473985, 0.2526054163040085, 64.86, 78.71555555555557, 100.51767587661743, 99.46883894521979, 0.20234657586975532, 0.27010336046731925
24, 51.63043141365051, 0.31838077721716485, 0.24739122759042817, 65.72, 79.54, 100.2706447948109, 95.54327199428896, 0.19725590233098378, 0.2706091400188736
25, 51.8331298828125, 0.31809850772724874, 0.2430235235105184, 66.27, 80.35333333333334, 99.93540965427052, 100.44221438637263, 0.19305581675673072, 0.26787739369688157
26, 51.90115165710449, 0.317648814826072, 0.23931104164909234, 66.13, 81.19111111111111, 99.17233313213696, 97.76333811313292, 0.18972487256608225, 0.2687671420317662
