epoch, time, test_loss, train_loss, test_accuracy, train_acc, reconstruction_loss_train, reconstruction_loss_test, margin_loss_train, margin_loss_test
0, 52.83760976791382, 0.4970671274239504, 0.599096913060004, 37.37, 20.93111111111111, 192.20765135504982, 170.68497611902936, 0.5029930858449503, 0.41172463116766533
1, 51.73537087440491, 0.4492662284947649, 0.4796886926686222, 45.6, 41.44, 165.54631092331627, 143.6086149577853, 0.39691553290256043, 0.37746191666096074
2, 51.72455930709839, 0.4188424635537063, 0.442432504739951, 50.96000000000001, 46.81111111111111, 141.7916869466955, 133.86051042774056, 0.3715366572988304, 0.35191220610956603
3, 51.28766655921936, 0.4017235338687897, 0.41973288027061656, 51.65, 49.90222222222222, 131.42224528572777, 119.63967528524277, 0.35402175538580527, 0.3419036921821063
4, 51.651798725128174, 0.3904522129251987, 0.4028644905510274, 53.76, 52.46666666666666, 124.5279721997001, 111.73881579049026, 0.34060050022195687, 0.3345828026155882
5, 51.623037576675415, 0.3831615017939217, 0.3893506516787139, 55.53, 54.31777777777778, 120.79961724714799, 113.88290849516663, 0.3289508410644802, 0.32622004687031614
6, 51.50912141799927, 0.3762513674512694, 0.37885187583213503, 55.63, 56.35111111111111, 117.31393228877674, 106.05858080900168, 0.32019490672444756, 0.323222073950345
7, 51.62384009361267, 0.3698840096027036, 0.3675402111627839, 57.32000000000001, 58.11777777777778, 116.17995088750666, 107.7067379528963, 0.3094502314078537, 0.31603063737289816
8, 51.548659324645996, 0.3666211087492448, 0.3594416336749088, 57.64, 59.72, 114.69247648932718, 107.53757911392405, 0.3020953924649141, 0.31285231551037557
9, 51.55502724647522, 0.35730563047565994, 0.3495745249092579, 58.51, 61.22222222222222, 111.95741187442432, 104.40580343898338, 0.29359581791372463, 0.3051027255722239
10, 51.18942308425903, 0.3535042691834365, 0.3405269095674157, 59.440000000000005, 63.05111111111111, 111.39622605930676, 104.19942455050311, 0.28482879393480043, 0.3014045478422431
11, 51.57890820503235, 0.35192824994461447, 0.3333690455183387, 60.33, 64.16444444444444, 111.59855508804321, 105.63327431980568, 0.2775697655637156, 0.29911161034922057
12, 51.31317687034607, 0.3512713675257526, 0.3245231108739972, 60.589999999999996, 65.80444444444444, 108.98283165151423, 102.97072543373591, 0.27003169140185823, 0.2997860018211075
13, 51.35267353057861, 0.34876183505299724, 0.31664479871026496, 61.370000000000005, 67.25555555555556, 108.5549150163477, 106.52378265767157, 0.2623673380267891, 0.2954999423479732
14, 51.44575881958008, 0.34257468090781684, 0.30970890989357774, 62.050000000000004, 68.63111111111111, 108.23896093802018, 104.85526381866842, 0.25558942776512017, 0.2901470461223699
15, 51.37871265411377, 0.33842914806136604, 0.30183421659537335, 62.38, 69.94888888888889, 106.69066448645158, 101.95767945881131, 0.24848888060924681, 0.28745030508011205
16, 51.48937249183655, 0.3341706900656978, 0.29707570577209647, 63.29, 70.89999999999999, 106.44137926535173, 98.8958281504957, 0.24385501342740926, 0.2847227708825582
17, 51.64294195175171, 0.3326051642623129, 0.2893724583766677, 63.09, 72.14444444444445, 104.28225870565934, 101.56982837145841, 0.23723132705146616, 0.28182024706768083
18, 51.470322608947754, 0.3347587279881103, 0.2844761944460598, 63.519999999999996, 73.34666666666666, 105.70128111405806, 99.24869518038592, 0.2316255526701835, 0.2851343826402592
19, 51.351555824279785, 0.3300153877161726, 0.2792652284472503, 64.56, 73.89555555555556, 103.90828527103771, 101.66858286797246, 0.22731108256531032, 0.2791810946751244
20, 51.171313762664795, 0.32821463670911666, 0.2730166675861586, 64.45, 75.25111111111111, 102.71148488738321, 101.14418667177611, 0.22166092342443086, 0.27764254487768003
21, 51.97775101661682, 0.3301355499255506, 0.26563531647182326, 63.91, 76.64, 101.75982687690042, 100.2166734526429, 0.2147553997876292, 0.28002721108967743
22, 51.71340084075928, 0.32562088815471796, 0.26336060235784814, 64.61, 77.26222222222222, 102.32956884124063, 97.63650290573699, 0.2121958163651553, 0.2768026343252085
23, 52.067121744155884, 0.3241652137116541, 0.2590745838189667, 65.28, 77.98222222222222, 101.75380349159241, 101.27216908901552, 0.20819767949764023, 0.27352912837191473
24, 51.76449370384216, 0.32527594815326644, 0.2549621611410244, 64.21, 78.80444444444444, 101.61067342758179, 98.72967452037183, 0.20415682188997214, 0.27591110822520676
25, 51.770105600357056, 0.3322117494631417, 0.24999684442512013, 64.39, 79.7511111111111, 100.8486213684082, 101.5309713822377, 0.19957253146408635, 0.28144626357132874
26, 51.68367624282837, 0.32217128857781613, 0.24546173341910948, 65.12, 80.50222222222222, 99.71775317192078, 98.34777658196944, 0.19560285505246033, 0.272997397599341
27, 52.09732961654663, 0.3208273298378232, 0.24261420300569048, 65.47, 80.97111111111111, 100.0441189029, 101.35881544668463, 0.19259214214980602, 0.270147922106936
28, 51.92327833175659, 0.3253412250476547, 0.23865120807154613, 64.49000000000001, 81.76666666666667, 99.95202341946688, 99.15658752827704, 0.1886751933700659, 0.2757629297579391
29, 51.81515288352966, 0.32195157491708104, 0.23573899032040077, 65.69, 82.30888888888889, 100.03099302812056, 99.77045537248442, 0.1857234916057099, 0.27206634550909453
30, 51.97758221626282, 0.32462286949157715, 0.23213851655071432, 65.08, 83.14888888888889, 100.24236646565524, 100.20762209349041, 0.18201733130792325, 0.2745190572135056
31, 51.79083061218262, 0.32247182990931256, 0.22866288551383399, 65.47, 83.56222222222223, 99.32103794271296, 101.6044099059286, 0.17900236463174224, 0.27166962265213834
